country,pearson_r_school_gdp,p_value,n
Papua New Guinea,0.28331317919975557,0.16995309057890387,25
Lithuania,0.2831443056585509,0.17021875624084193,25
St. Vincent and the Grenadines,0.28277219469727866,0.17080517185622793,25
Ethiopia,0.2730713309569322,0.1865939177403758,25
Czechia,0.2726917370239064,0.18723149430929834,25
Spain,0.27053153203487,0.1908884061896998,25
"Gambia, The",0.2678922396928278,0.19542252203118013,25
South Sudan,0.25659161789438656,0.21566679657809623,25
Uruguay,0.2529398986773225,0.2224990868041779,25
Chile,0.24868903505618725,0.23063259637592542,25
Comoros,0.24701676750585,0.2338856092021209,25
Syrian Arab Republic,0.2422229965357673,0.2433782725443554,25
Cabo Verde,0.23913149487764124,0.24963215818976822,25
Niger,0.22877209065589638,0.2713463692242039,25
Viet Nam,0.22185391734389934,0.28649929015672204,25
Slovak Republic,0.2136980856989182,0.3050340274146521,25
Singapore,0.20867843533506472,0.3168019525469966,25
Seychelles,0.20668579696167988,0.32154939949320277,25
Cameroon,0.2036685952161973,0.3288198526505278,25
Algeria,0.2012210889200002,0.3347899320429979,25
St. Lucia,0.1964281218224683,0.3466684285224636,25
Poland,0.19476239414449187,0.35085449449348005,25
Saudi Arabia,0.18860659340024563,0.3665819474126878,25
Mauritania,0.1855142489997384,0.3746347682069972,25
Liechtenstein,0.18457360120223082,0.37710440236251935,25
Montenegro,0.18444848808313408,0.3774335860455415,25
Guinea-Bissau,0.18422140834796036,0.37803147487701455,25
Sri Lanka,0.18072999263212497,0.387292523748505,25
Colombia,0.179272994501874,0.3911950654734135,25
Australia,0.1778735279745059,0.39496439411637324,25
Ghana,0.17596821776065452,0.40012894997670506,25
Kenya,0.17262753892321356,0.40927503918185176,25
Argentina,0.17227008622885523,0.4102604909587422,25
Nauru,0.16392289236053437,0.4336437894254151,25
Honduras,0.16248245065758074,0.43775031721797336,25
"Congo, Rep.",0.16034978761302676,0.443868423488486,25
Eswatini,0.156852510582283,0.45399911534753784,25
Nigeria,0.13767597585311578,0.5116479609762289,25
Nicaragua,0.13051090979665203,0.5340635795098777,25
"Egypt, Arab Rep.",0.12486449111409653,0.552047663762336,25
Madagascar,0.1228354177365331,0.5585773620903248,25
Turkiye,0.11858982451982211,0.5723520518995207,25
Philippines,0.11829946425823563,0.573299586095349,25
Austria,0.11731989551560724,0.5765013266654113,25
Tanzania,0.09799662679753722,0.6411995545282753,25
"Somalia, Fed. Rep.",0.08292506918110808,0.6935234560715933,25
Malaysia,0.0812051745637316,0.699587621807075,25
"Congo, Dem. Rep.",0.07582712926749122,0.7186642040384464,25
North Macedonia,0.07296903511836275,0.7288700274159489,25
Afghanistan,0.07252404830955823,0.730463100065313,25
Switzerland,0.07200842630866443,0.7323104073857118,25
Myanmar,0.07035067595557043,0.7382593597214306,25
Angola,0.06775836386879511,0.7475913202202827,25
Georgia,0.06625216699691616,0.7530294084809476,25
Gabon,0.06568552506084323,0.7550782348325873,25
Haiti,0.06554026889411947,0.7556037020533605,25
Slovenia,0.06422446776765768,0.7603684208945389,25
Armenia,0.059845711588806486,0.776284869165006,25
Netherlands,0.054984726294478904,0.7940571647137649,25
Kyrgyz Republic,0.053620789114837406,0.7990622554323502,25
Belgium,0.05347644461565333,0.7995923952968121,25
Peru,0.05091761501479271,0.8090044145921134,25
Puerto Rico (US),0.05071855417487779,0.8097377102621907,25
Sint Maarten (Dutch part),0.03903578956866297,0.8530276932672102,25
Romania,0.03395226013359038,0.8720018895154591,25
Liberia,0.029587643995202566,0.8883481666133414,25
Sierra Leone,0.0294973259256782,0.8886869155323668,25
